TransactionAmount,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,DaysSinceLastTransaction,TransactionType,Location,Channel,CustomerOccupation,Target,cluster
106151.042,1196.0,33940.0,5.0,3597148.2145999996,-208879.99999999997,Debit,Tucson,ATM,Student,5,5
583925.5035,1692.0,9580.0,5.0,12922186.381399998,-170660.0,Debit,Louisville,Branch,Student,5,5
835218.0995,4606.000000000001,26110.0,5.0,69523272.75719999,-145180.0,Debit,Chicago,Branch,Retired,7,7
315631.89650000003,1630.0,21760.0,5.0,22453118.6298,-119700.0,Debit,Baltimore,Branch,Student,5,5
979074.284,1196.0,30460.0,5.0,11629248.908,-143360.0,Debit,Oklahoma City,Online,Student,5,5
1202927.325,1630.0,40030.0,5.0,3950024.4874,-125524.0,Debit,Denver,Online,Student,5,5
42234.1485,2560.0,50760.0,5.0,19861888.056599997,-214703.99999999997,Credit,Sacramento,Online,Engineer,2,2
816163.919,4296.000000000001,35100.0,5.0,58131557.86959999,-229991.99999999997,Credit,Kansas City,Online,Retired,3,3
814667.216,3180.0,76570.0,5.0,77118889.89899999,,Debit,Omaha,Online,Engineer,0,0
163927.6155,4172.000000000001,42060.0,5.0,221736423.27599996,-188495.99999999997,Debit,Virginia Beach,Branch,Doctor,1,1
325245.335,1754.0,41190.0,5.0,13670040.1012,-155008.0,Debit,San Diego,Branch,Student,5,5
200769.5355,3862.0,26110.0,5.0,66614870.087199986,-213975.99999999997,Debit,Omaha,ATM,Retired,3,3
608179.7675,1568.0,24080.0,5.0,19697351.3122,-167384.0,Debit,Mesa,Branch,Student,5,5
116167.439,3552.0,15090.0,5.0,52588335.77819999,-119336.0,Credit,Columbus,Branch,Retired,7,7
561379.016,4234.000000000001,17700.0,5.0,69003925.76379998,-223439.99999999997,Credit,Dallas,Branch,Retired,3,3
741674.162,2994.0,8130.0,5.0,83765222.26139998,-187767.99999999997,Debit,Indianapolis,Branch,Engineer,2,2
215045.7795,1444.0,14800.0,5.0,13839932.472,-145908.0,Debit,Kansas City,Branch,Student,5,5
1090904.862,2870.0,44090.0,5.0,81820832.34339999,,Debit,Indianapolis,ATM,Engineer,2,2
506557.4715,4916.000000000001,65840.0,9.0,62110788.28479999,-196503.99999999997,Debit,Dallas,Branch,Retired,3,3
670906.9739999999,2994.0,65550.0,5.0,98954522.56879999,-132804.0,Debit,Las Vegas,Online,Engineer,0,0
1153996.65,3490.0,30170.0,5.0,125831882.42459999,-191407.99999999997,Credit,Philadelphia,Branch,Engineer,2,2
11072.0245,3118.0,35970.0,5.0,208097725.5788,-134624.0,Debit,Charlotte,Online,Doctor,1,1
386322.33050000004,2622.0,53950.0,5.0,38457515.5218,-213975.99999999997,Credit,Nashville,Branch,Engineer,0,0
572623.4770000001,3490.0,65260.0,5.0,44849753.165,-204147.99999999997,Debit,Indianapolis,Branch,Retired,0,0
999836.2409999999,1568.0,37130.0,5.0,29030869.220799997,-206695.99999999997,Debit,Albuquerque,Branch,Student,5,5
225042.988,3738.0,4650.0,5.0,54534808.439799994,-231447.99999999997,Credit,Austin,Online,Engineer,2,2
362893.172,2002.0,29880.0,5.0,14534824.997399999,-130620.0,Credit,Indianapolis,,Engineer,7,7
256262.67750000005,2746.0,63810.0,5.0,57220208.7772,-173572.0,Debit,Atlanta,ATM,Engineer,0,0
274798.76850000006,2188.0,39160.0,5.0,94836640.93679997,-241275.99999999997,Debit,Dallas,Online,Engineer,2,2
47530.1745,3862.0,15960.0,5.0,87267206.85739999,-178668.0,Debit,Boston,ATM,Retired,3,3
448857.652,1630.0,81210.0,5.0,97258574.20879999,-139356.0,Credit,Jacksonville,Online,Student,0,0
2326625.0735,1258.0,6970.0,5.0,9014661.853,-145180.0,Debit,Indianapolis,Branch,Student,6,6
445403.72200000007,2312.0,14800.0,5.0,99523557.87379998,-114240.0,Debit,,ATM,Engineer,7,7
,1382.0,32780.0,5.0,9434483.455799999,-186675.99999999997,Debit,Kansas City,Online,Student,5,5
175632.6005,2746.0,20020.0,5.0,218331881.32699996,-219799.99999999997,Debit,Milwaukee,Branch,Doctor,1,1
230818.72650000002,1196.0,22340.0,5.0,20268023.0586,-117880.0,Debit,Miami,Branch,Student,5,5
334359.87250000006,3118.0,19440.0,5.0,156627478.06159997,-173936.0,Debit,Seattle,Online,Doctor,1,1
352512.19350000005,2374.0,29590.0,5.0,8219797.634799999,-184128.0,Debit,Denver,ATM,Engineer,5,5
662751.8615,3614.0,23210.0,5.0,95984232.66039999,,Credit,Phoenix,,Engineer,7,7
1770235.3275,3924.0,25240.0,5.0,70156426.81159998,-237635.99999999997,Debit,Detroit,ATM,Retired,6,6
498728.56350000005,3056.0,49310.0,5.0,106768381.48639998,-133168.0,Debit,Denver,Online,Doctor,7,7
296865.5435,2126.0,45540.0,5.0,22668087.5228,-179032.0,Debit,San Diego,Online,Doctor,0,0
2571623.8415,3366.0,8710.0,5.0,128747574.69719999,-147000.0,Credit,Austin,Online,Engineer,6,6
47127.216,3986.0000000000005,20020.0,5.0,146832483.67819998,-139356.0,Debit,Mesa,Branch,Doctor,1,1
1090041.3795,2994.0,33360.0,5.0,157051018.84939998,-158648.0,,Washington,ATM,Doctor,1,1
18440.4085,3614.0,51920.0,5.0,191670680.50339997,-183036.0,Credit,San Diego,Online,Doctor,1,1
754031.556,1506.0,29010.0,5.0,11777272.470999999,-128072.0,Debit,Kansas City,Online,Student,5,5
1375681.3905,3738.0,9870.0,5.0,60459470.14479999,-152460.0,Credit,Milwaukee,Online,Retired,6,6
429534.8325,3304.0,15960.0,17.0,43587610.5434,-145908.0,Debit,Kansas City,ATM,Engineer,4,4
442602.20100000006,1320.0,39160.0,5.0,9194670.407,-214703.99999999997,Debit,Houston,Branch,Student,5,5
848362.2220000001,1196.0,75410.0,,20467520.141999997,-116788.0,Debit,Los Angeles,Online,Student,0,0
1236065.8645,1816.0,20890.0,5.0,17011950.974799998,-223803.99999999997,Debit,San Antonio,ATM,Engineer,2,2
976080.878,3180.0,36840.0,5.0,114676112.63339998,-181580.0,Credit,Mesa,Branch,Engineer,2,2
1647582.4355000001,1692.0,53660.0,5.0,27863640.2004,-206695.99999999997,Credit,San Francisco,Branch,Student,6,6
48662.296,3552.0,22630.0,5.0,2990921.0595999993,-173936.0,Debit,Louisville,ATM,Engineer,7,7
283260.89700000006,4420.000000000001,38580.0,5.0,31476307.742,-157192.0,Debit,Charlotte,Branch,Retired,3,3
220706.387,2312.0,50760.0,5.0,113712843.71839999,-153552.0,Debit,San Antonio,Branch,Doctor,1,1
735629.7845,1878.0,6970.0,5.0,132431799.35819998,-237271.99999999997,Debit,Fort Worth,Branch,Engineer,2,2
189083.73900000003,1258.0,48440.0,5.0,139594949.6682,-164836.0,Credit,El Paso,Online,Student,0,0
159725.334,3428.0,47570.0,5.0,17574142.979399998,-140812.0,,Fort Worth,Branch,Doctor,7,7
376401.87600000005,1692.0,42350.0,5.0,140122032.5664,-225987.99999999997,Debit,Virginia Beach,Branch,Engineer,2,2
249335.62900000004,2002.0,68160.0,5.0,118343377.81079999,-245279.99999999997,Debit,Las Vegas,ATM,Engineer,0,0
588895.325,2870.0,14800.0,5.0,140110428.70919997,-124432.0,Debit,Colorado Springs,Online,Engineer,7,7
220629.633,3676.0,23210.0,5.0,91412907.99319999,-134988.0,Debit,Seattle,Online,Retired,7,7
1451782.9815,1692.0,4940.0,5.0,6258001.930999999,-222347.99999999997,Debit,Sacramento,Branch,Student,5,5
966640.1359999999,1382.0,10160.0,5.0,6662202.9568,-125524.0,Debit,Los Angeles,Online,Student,5,5
274453.3755,3924.0,42640.0,5.0,118738057.72299998,-168840.0,Debit,San Antonio,ATM,Retired,3,3
2005620.6570000001,3304.0,21180.0,5.0,27223047.776,-127344.0,Debit,Columbus,ATM,Retired,6,6
471154.689,1568.0,52210.0,5.0,14654582.754399998,-216887.99999999997,,New York,ATM,Student,5,5
488098.13450000004,3180.0,50470.0,5.0,131648241.46239999,-205967.99999999997,Credit,Dallas,Online,Engineer,2,2
410173.636,4854.000000000001,81790.0,5.0,52495951.222799994,-224167.99999999997,Credit,Dallas,ATM,Retired,3,3
629114.421,2498.0,30170.0,5.0,7143316.7284,-231083.99999999997,Debit,Fresno,Online,Engineer,2,2
4797.385,2932.0,31040.0,5.0,180682125.26979998,-172480.0,Debit,San Diego,Online,Doctor,1,1
575808.7679999999,4234.000000000001,13640.0,5.0,201531578.84499997,-143360.0,Credit,Austin,Online,Doctor,1,1
109336.333,2684.0,35390.0,9.0,84624502.76379998,-112784.0,Credit,Oklahoma City,ATM,Engineer,7,7
782219.4624999999,1630.0,17990.0,5.0,124170894.40359998,,Debit,Boston,Online,Engineer,2,2
222260.6555,2436.0,48440.0,5.0,96416848.25959998,-194319.99999999997,Debit,Fresno,Branch,Engineer,2,2
102793.0545,4296.000000000001,35100.0,5.0,24566508.314199995,-163016.0,Debit,Houston,ATM,Retired,3,3
121540.21900000001,2870.0,47860.0,5.0,166246778.1456,-129164.0,Credit,Detroit,Online,Doctor,1,1
609945.1095,1692.0,26400.0,5.0,2164666.9199999995,,Debit,Detroit,Online,Student,5,5
636386.8624999999,2560.0,17700.0,5.0,62074340.27179998,-159740.0,Debit,Portland,Online,Engineer,7,7
9671.264000000001,3490.0,11900.0,5.0,82690377.79639998,-125524.0,Debit,Washington,ATM,Retired,7,7
411670.33900000004,4358.000000000001,71640.0,5.0,165898513.66219997,-167384.0,Credit,Detroit,Online,Doctor,1,1
1149026.8284999998,3552.0,45830.0,5.0,21058424.2548,-156100.0,Debit,Philadelphia,Branch,Doctor,6,6
1614290.388,1630.0,23210.0,5.0,16418666.5836,-165564.0,Debit,Tucson,Online,Student,6,6
73204.3875,1630.0,31330.0,5.0,4517869.6532,-155008.0,Debit,Mesa,Online,Student,5,5
1989195.3010000002,3614.0,41770.0,5.0,82440597.33179998,-176120.0,Debit,San Antonio,Branch,Doctor,6,6
239319.23200000002,2064.0,30460.0,5.0,93869355.30199999,-179032.0,Debit,Oklahoma City,Branch,Engineer,2,2
580356.4425,4854.000000000001,11610.0,5.0,76371482.48139998,-148456.0,Credit,San Antonio,Branch,Retired,7,7
399197.814,2932.0,79180.0,5.0,139022939.01519996,-128072.0,Debit,Louisville,Online,Engineer,0,0
11072.0245,1444.0,73670.0,5.0,16631850.2678,-129164.0,Credit,Los Angeles,Branch,Student,0,0
731715.3304999999,3490.0,21760.0,5.0,176071526.00899997,-161196.0,Debit,Albuquerque,ATM,Doctor,1,1
31008.876,3118.0,35970.0,5.0,214242563.03579998,-140812.0,Debit,Milwaukee,ATM,Doctor,1,1
932714.868,1134.0,19730.0,5.0,26014907.720599998,-183764.0,Debit,Oklahoma City,Online,Student,5,5
645482.2115,1320.0,5230.0,5.0,14883684.5504,-240183.99999999997,Debit,San Antonio,Branch,Student,5,5
1913918.8155,4296.000000000001,34230.0,5.0,101311444.48699999,-127344.0,Debit,Seattle,Online,Doctor,6,6
450104.9045,1444.0,34810.0,5.0,3927263.0752000003,-157192.0,Debit,Chicago,Online,Student,5,5
11513.36,1878.0,71350.0,5.0,80970626.65239999,-138264.0,Debit,Chicago,Online,Doctor,0,0
2014639.252,4978.000000000001,6100.0,5.0,30316665.858999997,-138264.0,Debit,Detroit,ATM,Retired,6,6
435847.84900000005,1134.0,85270.0,5.0,5087053.7256,-179032.0,Debit,Charlotte,ATM,Student,0,0
448512.2590000001,4110.000000000001,4940.0,5.0,15867483.366599998,-137900.0,Credit,Oklahoma City,Online,Retired,7,7
,4296.000000000001,48150.0,5.0,90420331.90039998,-148456.0,Credit,Jacksonville,Branch,Retired,3,3
87979.5325,1258.0,26690.0,5.0,24682844.421,-228899.99999999997,Debit,Los Angeles,ATM,Student,5,5
1867789.6615,4792.000000000001,85850.0,5.0,30381677.212799996,-157920.0,Debit,Sacramento,Branch,Retired,6,6
,2560.0,41190.0,21.0,6277044.1581999995,-208515.99999999997,Debit,New York,Online,Doctor,4,4
797282.435,4110.000000000001,40900.0,5.0,150458391.51839998,-169932.0,Debit,Memphis,ATM,Doctor,1,1
509953.83599999995,3366.0,26690.0,5.0,66144616.335799985,-232539.99999999997,Debit,Philadelphia,Online,Retired,3,3
133168.45,4978.000000000001,32780.0,5.0,95996282.81979999,-171388.0,Debit,Virginia Beach,Online,Retired,3,3
638842.9905,2188.0,84980.0,5.0,41479427.717999995,-128072.0,Credit,Albuquerque,Branch,Engineer,0,0
514060.17499999993,1258.0,46410.0,5.0,8869018.5684,-143360.0,Debit,San Antonio,Online,Student,5,5
951807.4255,3800.0,76860.0,5.0,191979372.8584,-134260.0,Debit,San Francisco,Branch,Doctor,1,1
721986.7609999999,2312.0,71060.0,5.0,134819069.82599998,-229263.99999999997,Debit,Tucson,ATM,Engineer,0,0
159303.187,2250.0,49600.0,5.0,134032982.88439997,-156100.0,Credit,Seattle,Online,Engineer,0,0
178952.211,1258.0,20890.0,5.0,17141081.077999998,-170296.0,Credit,New York,Online,Student,5,5
1541546.7845,4234.000000000001,37420.0,5.0,181025777.96379998,-207059.99999999997,Credit,Memphis,Branch,Doctor,1,1
68618.336,1444.0,35390.0,5.0,9102583.3864,-150640.0,Debit,Charlotte,Branch,Student,5,5
54745.050500000005,3862.0,28720.0,5.0,128989321.72219999,-191043.99999999997,Debit,Washington,Online,Doctor,1,1
267737.40050000005,3304.0,51340.0,5.0,150238215.76639998,-143360.0,Credit,Louisville,Online,Doctor,1,1
590180.9545,2064.0,82660.0,5.0,78961969.21759999,-242731.99999999997,Debit,Detroit,Branch,Doctor,0,0
116378.5125,3490.0,15380.0,5.0,15580213.517199999,-192863.99999999997,Credit,Tucson,Branch,Retired,3,3
143645.371,4358.000000000001,36260.0,5.0,102969159.62519997,-163744.0,Debit,Nashville,Branch,Doctor,7,7
,3180.0,39740.0,5.0,21950136.0504,-126616.0,Debit,Kansas City,Branch,Retired,7,7
445000.76350000006,2126.0,47860.0,5.0,1677602.4523999998,-234723.99999999997,Debit,Memphis,ATM,Engineer,2,2
242178.3185,4668.000000000001,77730.0,5.0,84346158.95839998,-229627.99999999997,Debit,Baltimore,Branch,Retired,3,3
971475.6379999999,3304.0,46990.0,9.0,19487886.812999997,-201599.99999999997,Credit,Chicago,Online,Retired,3,3
584002.2575000001,1940.0,10450.0,5.0,60356523.103999995,-122976.0,Debit,Houston,Branch,Engineer,7,7
540828.1325000001,1382.0,31620.0,5.0,23594313.3552,-196503.99999999997,Debit,Detroit,ATM,Student,5,5
1492635.298,1940.0,4940.0,5.0,101542033.95699999,-217251.99999999997,Debit,Houston,Branch,Engineer,2,2
228688.803,3490.0,27850.0,5.0,82067637.45999998,-159740.0,Debit,Los Angeles,Branch,Retired,7,7
340001.29150000005,4730.000000000001,12480.0,5.0,79490986.092,-196867.99999999997,Debit,Chicago,Online,Retired,3,3
500589.848,1382.0,10450.0,5.0,13434541.306999998,-191771.99999999997,Debit,Denver,Branch,Student,5,5
325187.76950000005,1506.0,5520.0,5.0,26869873.968399998,-216523.99999999997,Debit,Chicago,Online,Student,5,5
140517.6455,1630.0,4070.0000000000005,5.0,11719104.417599998,-195411.99999999997,Debit,Portland,Branch,Student,5,5
2614529.3275,1816.0,30750.0,5.0,36145818.893199995,-231083.99999999997,Debit,El Paso,ATM,Engineer,6,6
1520823.2045000002,1196.0,47570.0,5.0,11460695.443799999,-194319.99999999997,Debit,Baltimore,ATM,Student,5,5
454882.8410000001,4420.000000000001,13350.0,5.0,17595863.0198,-117880.0,Debit,Phoenix,Online,Retired,7,7
65567.36450000001,3366.0,15670.0,5.0,10808796.696999999,-127708.0,Credit,Philadelphia,Online,Engineer,7,7
1420428.9725,2560.0,35680.0,5.0,215181731.63199997,-173208.0,Debit,Philadelphia,Online,Doctor,1,1
870275.4890000001,3614.0,23790.0,5.0,179209774.31199998,-206331.99999999997,Debit,Albuquerque,ATM,Doctor,1,1
576557.1195,4544.000000000001,29010.0,5.0,117312717.26359999,-130620.0,Debit,Jacksonville,Branch,Retired,7,7
212858.29050000003,1196.0,58300.0,5.0,29044704.588999998,-210699.99999999997,Credit,Virginia Beach,Branch,Student,5,5
387013.11650000006,3676.0,86720.0,5.0,109024587.8748,-244915.99999999997,Debit,Las Vegas,ATM,Doctor,0,0
766024.3685,3676.0,31620.0,5.0,47760238.5786,-235087.99999999997,Debit,Portland,ATM,Engineer,2,2
1999211.6980000003,4854.000000000001,16540.0,5.0,85187289.83799998,-155372.0,Debit,Jacksonville,Online,Retired,6,6
1209566.546,3862.0,15090.0,5.0,20286767.751,-223803.99999999997,Debit,Mesa,ATM,Retired,3,3
20992.479,3738.0,71060.0,5.0,18476863.562599998,-138264.0,Credit,Philadelphia,ATM,Engineer,0,0
414279.97500000003,2374.0,68160.0,5.0,117128840.75719997,-244551.99999999997,Debit,Los Angeles,ATM,Doctor,0,0
2729660.3275,4916.000000000001,47860.0,5.0,84415484.56679998,-176484.0,Debit,Washington,Branch,Retired,6,6
434370.33450000006,3056.0,40900.0,5.0,146387817.91959998,-151004.0,,Louisville,Branch,Doctor,1,1
853677.4365,2684.0,29300.0,5.0,153650493.62019998,-153552.0,Credit,Las Vegas,Branch,Doctor,1,1
538372.0044999999,1568.0,6970.0,5.0,4362556.4876,-236179.99999999997,Credit,Virginia Beach,Online,Student,5,5
937435.2390000001,3242.0,38290.0,5.0,111376749.23619999,-179032.0,Debit,Jacksonville,Branch,Engineer,2,2
6332.465,3118.0,38000.0,5.0,169377290.5438,-214703.99999999997,Credit,Los Angeles,Branch,Doctor,1,1
382599.7615,4296.000000000001,47860.0,5.0,108076493.23459998,-161196.0,,Colorado Springs,Branch,Retired,3,3
39068.046,3862.0,21760.0,5.0,41096797.9652,-171388.0,Debit,Tucson,Branch,Retired,3,3
218058.374,,9290.0,5.0,99302787.05219997,-137900.0,Debit,Detroit,Online,Retired,7,7
946204.3835,3304.0,68450.0,5.0,110578760.90259998,-168840.0,Debit,Colorado Springs,Branch,Retired,0,0
589873.9385,1196.0,4070.0000000000005,5.0,15724815.43,-186675.99999999997,Debit,Los Angeles,ATM,Student,5,5
21453.003,2684.0,46700.0,5.0,88619204.98859999,-124432.0,Debit,Atlanta,Online,Doctor,7,7
602173.767,3676.0,43800.0,5.0,108028887.66659999,-129892.0,Debit,Tucson,Branch,Engineer,7,7
97861.61,3986.0000000000005,31040.0,,73538207.34839998,-235087.99999999997,Debit,Seattle,Branch,Retired,3,3
270519.733,3738.0,29010.0,5.0,120910508.06519997,-193227.99999999997,Debit,Memphis,Branch,Engineer,2,2
552705.814,4234.000000000001,18280.0,5.0,26004940.304799996,-160104.0,Debit,Denver,ATM,Retired,3,3
1536135.6275,1940.0,31330.0,5.0,143712682.53279996,-200871.99999999997,Debit,Oklahoma City,ATM,Engineer,6,6
931678.689,2870.0,41480.0,5.0,94787398.9274,-232539.99999999997,Debit,Houston,ATM,Engineer,2,2
1000008.9375,3366.0,62070.0,5.0,140473272.39779997,-228535.99999999997,Debit,Kansas City,ATM,Doctor,1,1
617467.0015,3924.0,,5.0,88653570.25799999,-166292.0,Credit,Raleigh,ATM,Retired,3,3
585115.1905,4048.0000000000005,45830.0,5.0,201300543.07279995,-225987.99999999997,Debit,Portland,ATM,Doctor,1,1
829096.968,2498.0,42060.0,5.0,171091834.8288,-168840.0,,El Paso,ATM,Doctor,1,1
1332065.9300000002,3800.0,20890.0,5.0,20669397.503799997,-121884.0,Debit,Milwaukee,ATM,Retired,7,7
224237.071,3428.0,49600.0,5.0,99771850.6644,-217251.99999999997,Debit,Louisville,ATM,Engineer,2,2
,3552.0,43220.0,5.0,106745025.00459999,-223439.99999999997,Credit,Detroit,,Doctor,1,1
143683.748,1568.0,58590.0,5.0,6258299.4658,-193591.99999999997,Debit,Atlanta,ATM,Student,5,5
,4668.000000000001,28720.0,5.0,108950352.94219998,-194319.99999999997,Debit,Philadelphia,Branch,Retired,3,3
258469.355,3118.0,30750.0,,124902978.77899998,-161196.0,Debit,Fort Worth,ATM,Doctor,1,1
1708237.284,2064.0,46700.0,5.0,76480380.21819998,-177576.0,Credit,Las Vegas,Online,Engineer,6,6
693223.1995,3924.0,52210.0,5.0,118204280.29179998,-243823.99999999997,Debit,Omaha,ATM,Doctor,3,3
252444.16600000003,2746.0,12190.0,5.0,87379228.70959999,-139720.0,Debit,Charlotte,Branch,Doctor,7,7
931621.1235,4730.000000000001,10740.0,5.0,45737894.54299999,-125160.0,Credit,Milwaukee,Online,Retired,7,7
1051280.6095,3986.0000000000005,38000.0,5.0,91577742.27239999,-176484.0,Debit,Columbus,ATM,Retired,3,3
877490.365,1754.0,4360.0,5.0,123749138.8246,-181580.0,Debit,Virginia Beach,Online,Engineer,2,2
971398.8840000001,3614.0,18570.0,5.0,3423090.3565999996,-241275.99999999997,Debit,Chicago,ATM,Engineer,2,2
933693.4815,3552.0,34520.0,5.0,37393679.844399996,-117516.0,Debit,Indianapolis,Branch,Retired,7,7
314077.628,2560.0,84690.0,5.0,150107151.68699998,-147364.0,Debit,San Diego,Branch,Doctor,0,0
1116099.3625,1382.0,51050.0,5.0,7143763.030599999,-242731.99999999997,Debit,Boston,ATM,Student,5,5
99799.6485,2994.0,24660.0,5.0,16675141.5812,-132804.0,Debit,Mesa,ATM,Doctor,7,7
1209336.284,1320.0,17990.0,5.0,5516545.2094,-124796.0,Debit,Boston,ATM,Student,5,5
1004978.7590000001,2684.0,46120.0,5.0,200814519.97699997,-134624.0,Debit,Oklahoma City,ATM,Doctor,1,1
1353940.82,2498.0,35970.0,13.0,220245773.92799997,-227443.99999999997,Debit,Phoenix,Branch,Doctor,4,4
417350.13500000007,2870.0,10160.0,5.0,45484246.125999995,-138264.0,Credit,Denver,Branch,Engineer,7,7
175536.65800000002,3180.0,40900.0,5.0,222299954.18719998,-237635.99999999997,Debit,Fort Worth,ATM,Doctor,1,1
10074.2225,2436.0,14220.0,5.0,210406595.62679997,-130620.0,Debit,San Jose,ATM,Doctor,1,1
103675.7255,3490.0,46700.0,5.0,100214284.91199999,-150640.0,Credit,Milwaukee,ATM,Retired,7,7
1413674.6205,2994.0,2910.0000000000005,5.0,49287782.241799995,-125524.0,Debit,Memphis,Branch,Engineer,7,7
707883.2135000001,3366.0,4070.0000000000005,5.0,12343481.1954,-220891.99999999997,,Virginia Beach,Branch,Doctor,2,2
63437.441000000006,3304.0,49310.0,5.0,22923223.613799997,-239819.99999999997,Credit,Fort Worth,Online,Retired,3,3
127603.785,2002.0,41770.0,5.0,101462889.70019998,-200871.99999999997,Credit,Louisville,Online,Engineer,2,2
339790.21800000005,2188.0,24660.0,5.0,200466255.49359995,-243823.99999999997,Debit,Las Vegas,,Doctor,1,1
