TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,DaysSinceLastTransaction,Target
246.93,Debit,Miami,ATM,23.0,Student,158.0,5.0,673.35,-567.0,4
40.32,Debit,Milwaukee,Branch,37.0,Engineer,95.0,1.0,2686.52,-586.0,2
127.45,Debit,Las Vegas,Online,44.0,Doctor,197.0,1.0,1772.06,-650.0,0
56.17,Debit,Detroit,Branch,27.0,Student,283.0,1.0,1351.69,-411.0,0
28.31,Credit,Miami,Online,59.0,Doctor,20.0,1.0,8334.47,-476.0,1
59.12,Debit,Baltimore,ATM,29.0,Doctor,257.0,1.0,9823.64,-637.0,0
396.45,Debit,New York,ATM,49.0,Engineer,168.0,3.0,9690.15,-406.0,4
877.81,Debit,Los Angeles,Online,22.0,Student,150.0,1.0,399.0,-602.0,6
255.26,Credit,San Francisco,Branch,45.0,Doctor,50.0,1.0,14815.87,-374.0,1
124.76,Debit,Seattle,Branch,49.0,Engineer,45.0,1.0,5764.72,-385.0,7
78.13,Debit,Milwaukee,Branch,26.0,Student,145.0,1.0,900.61,-349.0,5
649.28,Debit,San Jose,ATM,75.0,Retired,137.0,,4875.86,-613.0,3
795.31,Debit,Mesa,ATM,66.0,Doctor,90.0,2.0,7914.88,-389.0,6
335.63,Debit,Oklahoma City,Online,55.0,Retired,216.0,1.0,1019.39,-650.0,3
328.47,Debit,San Antonio,ATM,63.0,Retired,119.0,1.0,4323.66,-462.0,3
34.02,Debit,Philadelphia,Online,38.0,Doctor,19.0,1.0,14214.48,-665.0,1
241.42,Credit,Charlotte,Online,57.0,Doctor,116.0,1.0,13357.02,-564.0,1
55.32,Debit,Tucson,ATM,19.0,Student,117.0,1.0,241.79,-572.0,5
304.31,Debit,Louisville,Branch,27.0,Student,33.0,1.0,868.61,-467.0,5
435.27,Debit,Chicago,Branch,74.0,Retired,90.0,1.0,4673.28,-397.0,7
164.49,Debit,Baltimore,Branch,26.0,Student,75.0,1.0,1509.27,-327.0,5
510.24,Debit,Oklahoma City,Online,19.0,Student,105.0,1.0,781.7,-392.0,5
626.9,Debit,Denver,Online,26.0,Student,138.0,1.0,265.51,-343.0,5
22.01,Credit,Sacramento,Online,41.0,Engineer,175.0,1.0,1335.09,-588.0,2
425.34,Credit,Kansas City,Online,69.0,Retired,121.0,1.0,3907.54,-630.0,3
424.56,Debit,Omaha,Online,51.0,Engineer,264.0,1.0,5183.85,,0
85.43,Debit,Virginia Beach,Branch,67.0,Doctor,145.0,1.0,14904.9,-516.0,1
169.5,Debit,San Diego,Branch,28.0,Student,142.0,1.0,918.88,-424.0,5
104.63,Debit,Omaha,ATM,62.0,Retired,90.0,1.0,4477.78,-586.0,3
316.95,Debit,Mesa,Branch,25.0,Student,83.0,1.0,1324.03,-458.0,5
60.54,Credit,Columbus,Branch,57.0,Retired,52.0,1.0,3534.93,-326.0,7
292.56,Credit,Dallas,Branch,68.0,Retired,61.0,1.0,4638.37,-612.0,3
386.52,Debit,Indianapolis,Branch,48.0,Engineer,28.0,1.0,5630.61,-514.0,2
112.07,Debit,Kansas City,Branch,23.0,Student,51.0,1.0,930.3,-399.0,5
568.52,Debit,Indianapolis,ATM,46.0,Engineer,152.0,1.0,5499.91,,2
263.99,Debit,Dallas,Branch,79.0,Retired,227.0,2.0,4175.02,-538.0,3
349.64,Debit,Las Vegas,Online,48.0,Engineer,226.0,1.0,6651.62,-363.0,0
601.4,Credit,Philadelphia,Branch,56.0,Engineer,104.0,1.0,8458.29,-524.0,2
5.77,Debit,Charlotte,Online,50.0,Doctor,124.0,1.0,13988.12,-368.0,1
201.33,Credit,Nashville,Branch,42.0,Engineer,186.0,1.0,2585.07,-586.0,0
298.42,Debit,Indianapolis,Branch,56.0,Retired,225.0,1.0,3014.75,-559.0,0
521.06,Debit,Albuquerque,Branch,25.0,Student,128.0,1.0,1951.42,-566.0,5
117.28,Credit,Austin,Online,60.0,Engineer,16.0,1.0,3665.77,-634.0,2
189.12,Credit,Indianapolis,,32.0,Engineer,103.0,1.0,977.01,-357.0,7
133.55,Debit,Atlanta,ATM,44.0,Engineer,220.0,1.0,3846.28,-475.0,0
143.21,Debit,Dallas,Online,35.0,Engineer,135.0,1.0,6374.82,-661.0,2
24.77,Debit,Boston,ATM,62.0,Retired,55.0,1.0,5866.01,-489.0,3
233.92,Credit,Jacksonville,Online,26.0,Student,280.0,1.0,6537.62,-381.0,0
1212.51,Debit,Indianapolis,Branch,20.0,Student,24.0,1.0,605.95,-397.0,6
232.12,Debit,,ATM,37.0,Engineer,51.0,1.0,6689.87,-312.0,7
,Debit,Kansas City,Online,22.0,Student,113.0,1.0,634.17,-511.0,5
91.53,Debit,Milwaukee,Branch,44.0,Doctor,69.0,1.0,14676.05,-602.0,1
120.29,Debit,Miami,Branch,19.0,Student,77.0,1.0,1362.39,-322.0,5
174.25,Debit,Seattle,Online,50.0,Doctor,67.0,1.0,10528.34,-476.0,1
183.71,Debit,Denver,ATM,38.0,Engineer,102.0,1.0,552.52,-504.0,5
345.39,Credit,Phoenix,,58.0,Engineer,80.0,1.0,6451.96,,7
922.55,Debit,Detroit,ATM,63.0,Retired,87.0,1.0,4715.84,-651.0,6
259.91,Debit,Denver,Online,49.0,Doctor,170.0,1.0,7176.86,-364.0,7
154.71,Debit,San Diego,Online,34.0,Doctor,157.0,1.0,1523.72,-490.0,0
1340.19,Credit,Austin,Online,54.0,Engineer,30.0,1.0,8654.28,-402.0,6
24.56,Debit,Mesa,Branch,64.0,Doctor,69.0,1.0,9869.93,-381.0,1
568.07,,Washington,ATM,48.0,Doctor,115.0,1.0,10556.81,-434.0,1
9.61,Credit,San Diego,Online,58.0,Doctor,179.0,1.0,12883.91,-501.0,1
392.96,Debit,Kansas City,Online,24.0,Student,100.0,1.0,791.65,-350.0,5
716.93,Credit,Milwaukee,Online,60.0,Retired,34.0,1.0,4064.02,-417.0,6
223.85,Debit,Kansas City,ATM,53.0,Engineer,55.0,4.0,2929.91,-399.0,4
230.66,Debit,Houston,Branch,21.0,Student,135.0,1.0,618.05,-588.0,5
442.12,Debit,Los Angeles,Online,19.0,Student,260.0,,1375.8,-319.0,0
644.17,Debit,San Antonio,ATM,29.0,Engineer,72.0,1.0,1143.52,-613.0,2
508.68,Credit,Mesa,Branch,51.0,Engineer,127.0,1.0,7708.41,-497.0,2
858.63,Credit,San Francisco,Branch,27.0,Student,185.0,1.0,1872.96,-566.0,6
25.36,Debit,Louisville,ATM,57.0,Engineer,78.0,1.0,201.04,-476.0,7
147.62,Debit,Charlotte,Branch,71.0,Retired,133.0,1.0,2115.8,-430.0,3
115.02,Debit,San Antonio,Branch,37.0,Doctor,175.0,1.0,7643.66,-420.0,1
383.37,Debit,Fort Worth,Branch,30.0,Engineer,24.0,1.0,8901.93,-650.0,2
98.54,Credit,El Paso,Online,20.0,Student,167.0,1.0,9383.43,-451.0,0
83.24,,Fort Worth,Branch,55.0,Doctor,164.0,1.0,1181.31,-385.0,7
196.16,Debit,Virginia Beach,Branch,27.0,Engineer,146.0,1.0,9418.86,-619.0,2
129.94,Debit,Las Vegas,ATM,32.0,Engineer,235.0,1.0,7954.92,-672.0,0
306.9,Debit,Colorado Springs,Online,46.0,Engineer,51.0,1.0,9418.08,-340.0,7
114.98,Debit,Seattle,Online,59.0,Retired,80.0,1.0,6144.68,-369.0,7
756.59,Debit,Sacramento,Branch,27.0,Student,17.0,1.0,420.65,-609.0,5
503.76,Debit,Los Angeles,Online,22.0,Student,35.0,1.0,447.82,-343.0,5
143.03,Debit,San Antonio,ATM,63.0,Retired,147.0,1.0,7981.45,-462.0,3
1045.22,Debit,Columbus,ATM,53.0,Retired,73.0,1.0,1829.9,-348.0,6
245.54,,New York,ATM,25.0,Student,180.0,1.0,985.06,-594.0,5
254.37,Credit,Dallas,Online,51.0,Engineer,174.0,1.0,8849.26,-564.0,2
213.76,Credit,Dallas,ATM,78.0,Retired,282.0,1.0,3528.72,-614.0,3
327.86,Debit,Fresno,Online,40.0,Engineer,104.0,1.0,480.16,-633.0,2
2.5,Debit,San Diego,Online,47.0,Doctor,107.0,1.0,12145.27,-472.0,1
300.08,Credit,Austin,Online,68.0,Doctor,47.0,1.0,13546.75,-392.0,1
56.98,Credit,Oklahoma City,ATM,43.0,Engineer,122.0,2.0,5688.37,-308.0,7
407.65,Debit,Boston,Online,26.0,Engineer,62.0,1.0,8346.64,,2
115.83,Debit,Fresno,Branch,39.0,Engineer,167.0,1.0,6481.04,-532.0,2
53.57,Debit,Houston,ATM,69.0,Retired,121.0,1.0,1651.33,-446.0,3
63.34,Credit,Detroit,Online,46.0,Doctor,165.0,1.0,11174.94,-353.0,1
317.87,Debit,Detroit,Online,27.0,Student,91.0,1.0,145.5,,5
331.65,Debit,Portland,Online,41.0,Engineer,61.0,1.0,4172.57,-437.0,7
5.04,Debit,Washington,ATM,56.0,Retired,41.0,1.0,5558.36,-343.0,7
214.54,Credit,Detroit,Online,70.0,Doctor,247.0,1.0,11151.53,-458.0,1
598.81,Debit,Philadelphia,Branch,57.0,Doctor,158.0,1.0,1415.52,-427.0,6
841.28,Debit,Tucson,Online,26.0,Student,80.0,1.0,1103.64,-453.0,6
38.15,Debit,Mesa,Online,26.0,Student,108.0,1.0,303.68,-424.0,5
1036.66,Debit,San Antonio,Branch,58.0,Doctor,144.0,1.0,5541.57,-482.0,6
124.72,Debit,Oklahoma City,Branch,33.0,Engineer,105.0,1.0,6309.8,-490.0,2
302.45,Credit,San Antonio,Branch,78.0,Retired,40.0,1.0,5133.61,-406.0,7
208.04,Debit,Louisville,Online,47.0,Engineer,273.0,1.0,9344.98,-350.0,0
5.77,Credit,Los Angeles,Branch,23.0,Student,254.0,1.0,1117.97,-353.0,0
381.33,Debit,Albuquerque,ATM,56.0,Doctor,75.0,1.0,11835.35,-441.0,1
16.16,Debit,Milwaukee,ATM,50.0,Doctor,124.0,1.0,14401.17,-385.0,1
486.08,Debit,Oklahoma City,Online,18.0,Student,68.0,1.0,1748.69,-503.0,5
336.39,Debit,San Antonio,Branch,21.0,Student,18.0,1.0,1000.46,-658.0,5
997.43,Debit,Seattle,Online,69.0,Doctor,118.0,1.0,6810.05,-348.0,6
234.57,Debit,Chicago,Online,23.0,Student,120.0,1.0,263.98,-430.0,5
6.0,Debit,Chicago,Online,30.0,Doctor,246.0,1.0,5442.76,-378.0,0
1049.92,Debit,Detroit,ATM,80.0,Retired,21.0,1.0,2037.85,-378.0,6
227.14,Debit,Charlotte,ATM,18.0,Student,294.0,1.0,341.94,-490.0,0
233.74,Credit,Oklahoma City,Online,66.0,Retired,17.0,1.0,1066.59,-377.0,7
,Credit,Jacksonville,Branch,69.0,Retired,166.0,1.0,6077.96,-406.0,3
45.85,Debit,Los Angeles,ATM,20.0,Student,92.0,1.0,1659.15,-627.0,5
973.39,Debit,Sacramento,Branch,77.0,Retired,296.0,1.0,2042.22,-432.0,6
,Debit,New York,Online,41.0,Doctor,142.0,5.0,421.93,-571.0,4
415.5,Debit,Memphis,ATM,66.0,Doctor,141.0,1.0,10113.66,-465.0,1
265.76,Debit,Philadelphia,Online,54.0,Retired,92.0,1.0,4446.17,-637.0,3
69.4,Debit,Virginia Beach,Online,80.0,Retired,113.0,1.0,6452.77,-469.0,3
332.93,Credit,Albuquerque,Branch,35.0,Engineer,293.0,1.0,2788.2,-350.0,0
267.9,Debit,San Antonio,Online,20.0,Student,160.0,1.0,596.16,-392.0,5
496.03,Debit,San Francisco,Branch,61.0,Doctor,265.0,1.0,12904.66,-367.0,1
376.26,Debit,Tucson,ATM,37.0,Engineer,245.0,1.0,9062.4,-628.0,0
83.02,Credit,Seattle,Online,36.0,Engineer,171.0,1.0,9009.56,-427.0,0
93.26,Credit,New York,Online,20.0,Student,72.0,1.0,1152.2,-466.0,5
803.37,Credit,Memphis,Branch,68.0,Doctor,129.0,1.0,12168.37,-567.0,1
35.76,Debit,Charlotte,Branch,23.0,Student,122.0,1.0,611.86,-412.0,5
28.53,Debit,Washington,Online,62.0,Doctor,99.0,1.0,8670.53,-523.0,1
139.53,Credit,Louisville,Online,53.0,Doctor,177.0,1.0,10098.86,-392.0,1
307.57,Debit,Detroit,Branch,33.0,Doctor,285.0,1.0,5307.74,-665.0,0
60.65,Credit,Tucson,Branch,56.0,Retired,53.0,1.0,1047.28,-528.0,3
74.86,Debit,Nashville,Branch,70.0,Doctor,125.0,1.0,6921.48,-448.0,7
,Debit,Kansas City,Branch,51.0,Retired,137.0,1.0,1475.46,-346.0,7
231.91,Debit,Memphis,ATM,34.0,Engineer,165.0,1.0,112.76,-643.0,2
126.21,Debit,Baltimore,Branch,75.0,Retired,268.0,1.0,5669.66,-629.0,3
506.28,Credit,Chicago,Online,53.0,Retired,162.0,2.0,1309.95,-552.0,3
304.35,Debit,Houston,Branch,31.0,Engineer,36.0,1.0,4057.1,-336.0,7
281.85,Debit,Detroit,ATM,22.0,Student,109.0,1.0,1585.98,-538.0,5
777.88,Debit,Houston,Branch,31.0,Engineer,17.0,1.0,6825.55,-595.0,2
119.18,Debit,Los Angeles,Branch,56.0,Retired,96.0,1.0,5516.5,-437.0,7
177.19,Debit,Chicago,Online,76.0,Retired,43.0,1.0,5343.3,-539.0,3
260.88,Debit,Denver,Branch,22.0,Student,36.0,1.0,903.05,-525.0,5
169.47,Debit,Chicago,Online,24.0,Student,19.0,1.0,1806.16,-593.0,5
73.23,Debit,Portland,Branch,26.0,Student,14.0,1.0,787.74,-535.0,5
1362.55,Debit,El Paso,ATM,29.0,Engineer,106.0,1.0,2429.68,-633.0,6
792.57,Debit,Baltimore,ATM,19.0,Student,164.0,1.0,770.37,-532.0,5
237.06,Debit,Phoenix,Online,71.0,Retired,46.0,1.0,1182.77,-322.0,7
34.17,Credit,Philadelphia,Online,54.0,Engineer,54.0,1.0,726.55,-349.0,7
740.25,Debit,Philadelphia,Online,41.0,Doctor,123.0,1.0,14464.3,-474.0,1
453.54,Debit,Albuquerque,ATM,58.0,Doctor,82.0,1.0,12046.3,-565.0,1
300.47,Debit,Jacksonville,Branch,73.0,Retired,100.0,1.0,7885.64,-357.0,7
110.93,Credit,Virginia Beach,Branch,19.0,Student,201.0,1.0,1952.35,-577.0,5
201.69,Debit,Las Vegas,ATM,59.0,Doctor,299.0,1.0,7328.52,-671.0,0
399.21,Debit,Portland,ATM,59.0,Engineer,109.0,1.0,3210.39,-644.0,2
1041.88,Debit,Jacksonville,Online,78.0,Retired,57.0,1.0,5726.2,-425.0,6
630.36,Debit,Mesa,ATM,62.0,Retired,52.0,1.0,1363.65,-613.0,3
10.94,Credit,Philadelphia,ATM,60.0,Engineer,245.0,1.0,1241.99,-378.0,0
215.9,Debit,Los Angeles,ATM,38.0,Doctor,235.0,1.0,7873.28,-670.0,0
1422.55,Debit,Washington,Branch,79.0,Retired,165.0,1.0,5674.32,-483.0,6
226.37,,Louisville,Branch,49.0,Doctor,141.0,1.0,9840.04,-413.0,1
444.89,Credit,Las Vegas,Branch,43.0,Doctor,101.0,1.0,10328.23,-420.0,1
280.57,Credit,Virginia Beach,Online,25.0,Student,24.0,1.0,293.24,-647.0,5
488.54,Debit,Jacksonville,Branch,52.0,Engineer,132.0,1.0,7486.63,-490.0,2
3.3,Credit,Los Angeles,Branch,50.0,Doctor,131.0,1.0,11385.37,-588.0,1
199.39,,Colorado Springs,Branch,69.0,Retired,165.0,1.0,7264.79,-441.0,3
20.36,Debit,Tucson,Branch,62.0,Retired,75.0,1.0,2762.48,-469.0,3
113.64,Debit,Detroit,Online,,Retired,32.0,1.0,6675.03,-377.0,7
493.11,Debit,Colorado Springs,Branch,53.0,Retired,236.0,1.0,7432.99,-462.0,0
307.41,Debit,Los Angeles,ATM,19.0,Student,14.0,1.0,1057.0,-511.0,5
11.18,Debit,Atlanta,Online,43.0,Doctor,161.0,1.0,5956.89,-340.0,7
313.82,Debit,Tucson,Branch,59.0,Engineer,151.0,1.0,7261.59,-355.0,7
51.0,Debit,Seattle,Branch,64.0,Retired,107.0,,4943.16,-644.0,3
140.98,Debit,Memphis,Branch,60.0,Engineer,100.0,1.0,8127.48,-529.0,2
288.04,Debit,Denver,ATM,68.0,Retired,63.0,1.0,1748.02,-438.0,3
800.55,Debit,Oklahoma City,ATM,31.0,Engineer,108.0,1.0,9660.22,-550.0,6
485.54,Debit,Houston,ATM,46.0,Engineer,143.0,1.0,6371.51,-637.0,2
521.15,Debit,Kansas City,ATM,54.0,Doctor,214.0,1.0,9442.47,-626.0,1
321.79,Credit,Raleigh,ATM,63.0,Retired,,1.0,5959.2,-455.0,3
304.93,Debit,Portland,ATM,65.0,Doctor,158.0,1.0,13531.22,-619.0,1
432.08,,El Paso,ATM,40.0,Doctor,145.0,1.0,11500.62,-462.0,1
694.2,Debit,Milwaukee,ATM,61.0,Retired,72.0,1.0,1389.37,-333.0,7
116.86,Debit,Louisville,ATM,55.0,Engineer,171.0,1.0,6706.56,-595.0,2
,Credit,Detroit,,57.0,Doctor,149.0,1.0,7175.29,-612.0,1
74.88,Debit,Atlanta,ATM,25.0,Student,202.0,1.0,420.67,-530.0,5
,Debit,Philadelphia,Branch,75.0,Retired,99.0,1.0,7323.53,-532.0,3
134.7,Debit,Fort Worth,ATM,50.0,Doctor,106.0,,8395.85,-441.0,1
890.24,Credit,Las Vegas,Online,33.0,Engineer,161.0,1.0,5140.93,-486.0,6
361.27,Debit,Omaha,ATM,63.0,Doctor,180.0,1.0,7945.57,-668.0,3
131.56,Debit,Charlotte,Branch,44.0,Doctor,42.0,1.0,5873.54,-382.0,7
485.51,Credit,Milwaukee,Online,76.0,Retired,37.0,1.0,3074.45,-342.0,7
547.87,Debit,Columbus,ATM,64.0,Retired,131.0,1.0,6155.76,-483.0,3
457.3,Debit,Virginia Beach,Online,28.0,Engineer,15.0,1.0,8318.29,-497.0,2
506.24,Debit,Chicago,ATM,58.0,Engineer,64.0,1.0,230.09,-661.0,2
486.59,Debit,Indianapolis,Branch,57.0,Retired,119.0,1.0,2513.56,-321.0,7
163.68,Debit,San Diego,Branch,41.0,Doctor,292.0,1.0,10090.05,-403.0,0
581.65,Debit,Boston,ATM,22.0,Student,176.0,1.0,480.19,-665.0,5
52.01,Debit,Mesa,ATM,48.0,Doctor,85.0,1.0,1120.88,-363.0,7
630.24,Debit,Boston,ATM,21.0,Student,62.0,1.0,370.81,-341.0,5
523.74,Debit,Oklahoma City,ATM,43.0,Doctor,159.0,1.0,13498.55,-368.0,1
705.6,Debit,Phoenix,Branch,40.0,Doctor,124.0,3.0,14804.7,-623.0,4
217.5,Credit,Denver,Branch,46.0,Engineer,35.0,1.0,3057.4,-378.0,7
91.48,Debit,Fort Worth,ATM,51.0,Doctor,141.0,1.0,14942.78,-651.0,1
5.25,Debit,San Jose,ATM,39.0,Doctor,49.0,1.0,14143.32,-357.0,1
54.03,Credit,Milwaukee,ATM,56.0,Retired,161.0,1.0,6736.3,-412.0,7
736.73,Debit,Memphis,Branch,48.0,Engineer,10.0,1.0,3313.07,-343.0,7
368.91,,Virginia Beach,Branch,54.0,Doctor,14.0,1.0,829.71,-605.0,2
33.06,Credit,Fort Worth,Online,53.0,Retired,170.0,1.0,1540.87,-657.0,3
66.5,Credit,Louisville,Online,32.0,Engineer,144.0,1.0,6820.23,-550.0,2
177.08,Debit,Las Vegas,,35.0,Doctor,85.0,1.0,13475.14,-668.0,1
588.54,Debit,Portland,Branch,32.0,Engineer,130.0,1.0,714.45,-637.0,2
173.5,Debit,Nashville,ATM,21.0,Student,282.0,1.0,1306.91,-378.0,0
78.33,Credit,Memphis,Online,56.0,Engineer,189.0,1.0,7255.33,-462.0,0
40.66,Debit,Louisville,Branch,59.0,Retired,156.0,1.0,1153.84,-308.0,7
97.22,Credit,Atlanta,Branch,77.0,Retired,55.0,1.0,6647.73,-623.0,3
34.07,Debit,Philadelphia,Branch,22.0,Student,81.0,1.0,8709.77,-364.0,7
492.06,Debit,Fresno,Online,23.0,Student,74.0,1.0,857.9,-382.0,5
842.01,Credit,Virginia Beach,Online,53.0,Doctor,185.0,1.0,509.45,-419.0,6
73.55,Debit,Atlanta,ATM,51.0,Engineer,158.0,1.0,2812.06,-665.0,2
760.53,Debit,Phoenix,Online,57.0,Engineer,118.0,1.0,6179.91,-427.0,6
273.08,Credit,Houston,Branch,,Engineer,134.0,1.0,6609.3,-644.0,2
371.69,Debit,San Francisco,Branch,67.0,Retired,143.0,1.0,3484.32,-318.0,7
218.96,Debit,Seattle,ATM,18.0,Student,13.0,1.0,754.21,-432.0,5
227.39,Debit,Atlanta,Online,18.0,Student,65.0,1.0,751.09,-315.0,5
237.99,Credit,Kansas City,Branch,39.0,Doctor,86.0,1.0,8510.09,-546.0,1
186.6,Debit,,Online,58.0,Doctor,13.0,1.0,1508.72,-489.0,7
341.15,Debit,San Jose,Online,18.0,Student,148.0,1.0,511.37,-630.0,5
434.58,Debit,Memphis,ATM,59.0,Doctor,215.0,1.0,12648.32,-425.0,1
312.88,Credit,Portland,Branch,54.0,Engineer,44.0,1.0,233.21,-528.0,2
75.15,Debit,Boston,ATM,23.0,Student,154.0,1.0,1092.92,-413.0,5
23.3,Debit,Los Angeles,ATM,59.0,Engineer,161.0,1.0,6711.15,-448.0,7
47.38,Credit,Seattle,Online,25.0,Student,61.0,1.0,459.37,-635.0,5
512.81,Debit,Sacramento,Branch,79.0,Retired,30.0,1.0,6994.34,-474.0,3
488.15,Debit,Louisville,Branch,43.0,Engineer,168.0,1.0,7071.09,-462.0,0
12.82,Debit,Fort Worth,ATM,44.0,Engineer,156.0,1.0,9045.19,-579.0,2
66.9,Credit,Charlotte,Online,79.0,Retired,129.0,4.0,5238.71,-567.0,4
535.91,Debit,Las Vegas,Online,43.0,Engineer,22.0,1.0,9642.12,-486.0,2
270.72,Credit,Washington,Online,26.0,Engineer,53.0,1.0,6263.96,-490.0,2
97.98,Debit,Denver,Branch,72.0,Retired,18.0,1.0,7460.33,-637.0,3
196.08,Debit,San Francisco,Online,61.0,Retired,98.0,1.0,4233.82,-437.0,3
251.18,Debit,San Jose,ATM,42.0,Engineer,246.0,1.0,8303.9,-522.0,0
44.52,Debit,El Paso,Online,28.0,Student,205.0,1.0,314.28,-587.0,5
178.87,Debit,Baltimore,Online,35.0,Doctor,180.0,1.0,5241.23,-531.0,0
1176.28,Credit,Kansas City,ATM,54.0,Engineer,174.0,5.0,323.69,-320.0,4
386.68,Debit,New York,Branch,46.0,Doctor,128.0,1.0,6863.06,-370.0,7
167.14,Debit,Denver,Online,76.0,Retired,20.0,1.0,3877.73,-560.0,3
345.22,Debit,Fresno,Branch,69.0,Retired,253.0,1.0,4046.58,-426.0,0
74.85,Debit,Raleigh,ATM,72.0,Retired,117.0,1.0,2409.73,-315.0,7
671.73,Debit,Washington,Branch,58.0,Engineer,54.0,1.0,5211.88,-385.0,7
255.04,Debit,Seattle,ATM,45.0,Engineer,152.0,1.0,6217.86,-347.0,7
45.77,Debit,Philadelphia,Online,25.0,Student,109.0,1.0,5978.12,-634.0,2
329.69,Credit,San Antonio,Online,26.0,Student,66.0,1.0,1671.66,-665.0,5
362.04,Credit,Philadelphia,Branch,58.0,Doctor,198.0,2.0,8421.88,-483.0,1
11.92,Debit,San Diego,,53.0,Doctor,52.0,1.0,14611.9,-392.0,1
47.42,Debit,San Diego,ATM,64.0,Doctor,28.0,1.0,8253.52,-321.0,7
35.99,Debit,Miami,Branch,63.0,Retired,129.0,1.0,4489.79,-655.0,3
151.19,Credit,New York,Branch,37.0,Doctor,96.0,1.0,11903.82,-549.0,1
242.62,Credit,San Francisco,Online,22.0,Student,234.0,1.0,483.02,-483.0,0
48.72,Debit,Virginia Beach,Branch,21.0,Student,17.0,1.0,816.08,-402.0,5
43.46,Debit,Boston,ATM,25.0,Student,80.0,1.0,578.06,-472.0,5
1036.21,Debit,Omaha,Online,25.0,Student,126.0,1.0,477.3,-472.0,6
443.79,Debit,Las Vegas,ATM,53.0,Retired,87.0,1.0,3133.85,-392.0,7
365.14,Debit,Dallas,Online,68.0,Retired,57.0,1.0,5894.09,-339.0,7
757.41,Debit,Los Angeles,ATM,22.0,Student,37.0,1.0,9532.42,-549.0,6
20.54,Debit,Fort Worth,Branch,51.0,Engineer,72.0,1.0,5327.03,-441.0,7
475.36,Debit,Phoenix,ATM,34.0,Engineer,105.0,1.0,2000.6,-399.0,7
34.74,Debit,San Francisco,ATM,56.0,Retired,24.0,1.0,6827.57,-497.0,3
689.54,Debit,Oklahoma City,Branch,27.0,Student,93.0,1.0,1633.76,-609.0,5
211.18,Debit,Washington,ATM,73.0,Retired,90.0,1.0,4069.17,-385.0,7
211.36,Credit,Fort Worth,Branch,51.0,Engineer,286.0,1.0,7943.47,-349.0,0
744.41,Credit,Houston,Online,39.0,Engineer,107.0,1.0,8842.47,-462.0,6
61.43,Debit,Phoenix,Online,24.0,Student,170.0,1.0,1882.77,-494.0,5
167.44,Debit,Mesa,Branch,37.0,Doctor,82.0,1.0,12526.71,-406.0,1
361.46,Debit,Nashville,Online,21.0,Student,83.0,1.0,4737.84,-577.0,5
378.85,Debit,Virginia Beach,Branch,78.0,Retired,126.0,1.0,2300.53,-507.0,3
241.11,Debit,Columbus,Branch,30.0,Doctor,55.0,1.0,12385.05,-507.0,1
